ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain
24,1958,Graduation,Together,85675.05,1,1,2013-01-27,44,1730.72,38.65,447.95,134.81,47.92,0.0,7,11,2,9,14,0,0,0,1,0,0,0
25,1954,Graduation,Divorced,94242.93,1,2,2018-08-18,74,249.82,111.38,261.28,132.4,23.55,1007.65,3,9,4,16,25,0,0,0,0,0,0,0
26,1959,PhD,Single,116170.07,0,2,2015-01-07,303,1401.85,54.97,453.45,317.61,37.24,443.25,6,12,1,14,8,0,0,1,0,0,0,0
27,1999,Master,Together,91545.36,1,1,2017-04-25,76,747.52,56.09,263.61,89.72,45.89,161.48,6,7,2,17,14,0,0,1,0,0,0,0
28,1943,Master,Single,88861.28,1,2,2018-09-10,239,717.84,65.83,329.52,212.73,60.49,181.98,3,13,1,9,17,0,0,1,0,0,0,0
29,1950,PhD,Married,81998.74,0,0,2018-06-04,125,771.57,123.1,303.5,76.56,75.2,56.72,5,9,3,9,14,0,1,0,0,1,1,0
30,1948,Basic,Together,70134.5,0,0,2013-05-16,189,1128.08,109.6,88.29,173.81,42.61,845.66,7,10,4,11,14,0,0,0,0,0,0,0
31,1980,Graduation,Together,78297.92,0,2,2019-02-11,191,967.24,28.84,360.22,209.18,47.7,115.07,3,12,4,9,19,0,0,0,1,0,0,0
32,1988,Graduation,Single,60445.17,0,0,2012-04-14,138,1008.42,24.21,230.73,279.93,16.69,624.05,6,12,4,17,7,0,1,0,0,0,0,0
33,1964,Master,Together,137236.74,0,1,2012-01-16,302,644.21,93.73,303.02,159.02,56.09,648.05,9,10,4,10,18,0,0,0,0,0,1,0
34,1989,2n Cycle,Together,58425.08,0,2,2014-12-26,278,642.02,98.6,404.41,199.33,3.67,342.92,3,11,3,7,5,0,0,0,0,1,0,0
35,1984,Graduation,Widow,77858.26,2,0,2018-11-06,321,2348.31,50.83,241.26,180.79,23.06,100.44,8,11,4,13,18,0,0,0,0,1,1,0
36,1962,Graduation,Widow,64541.0,0,0,2018-07-14,214,1346.76,58.14,413.8,105.66,77.4,431.26,4,6,3,13,8,1,0,0,0,0,0,0
37,1993,Master,YOLO,79515.23,2,2,2016-07-15,248,2400.64,71.8,239.85,90.3,29.53,270.24,4,8,4,10,19,0,0,0,0,0,0,0
38,1986,Graduation,Married,40632.53,0,2,2017-09-22,314,604.97,90.76,290.86,94.25,49.17,460.78,2,9,3,9,16,0,0,0,1,0,0,0
39,1962,2n Cycle,Widow,59921.08,1,1,2019-01-25,207,769.24,36.71,259.04,116.99,36.57,400.6,6,7,3,11,8,0,0,0,0,0,1,0
40,1980,Graduation,Together,71662.33,1,0,2014-01-13,346,1602.83,114.55,356.46,99.97,66.92,412.67,8,13,2,12,17,0,0,0,1,0,0,0
41,1960,Master,Together,114861.84,0,1,2018-11-21,166,557.47,36.45,151.22,46.68,66.28,1005.36,4,12,3,10,17,0,0,0,0,0,0,0
42,1962,Master,Divorced,118702.0,0,0,2018-08-11,52,1508.05,82.86,497.85,251.81,26.87,179.45,6,6,4,9,12,0,0,0,0,1,0,0
43,1947,Graduation,Single,87677.68,0,0,2013-04-07,315,1483.7,87.38,300.57,173.94,54.66,594.85,4,14,5,15,21,0,0,0,0,0,0,0
44,1943,Graduation,Widow,86044.55,1,1,2012-05-19,102,901.53,27.51,117.68,172.67,42.47,703.51,1,5,4,9,22,0,0,0,1,0,0,0
45,1979,Basic,Together,44458.54,1,0,2018-04-27,302,841.7,44.8,252.45,157.74,33.03,489.24,5,10,2,12,13,0,0,0,0,0,1,0
46,1967,2n Cycle,Married,57585.12,1,1,2018-03-11,59,1794.72,35.91,476.62,293.61,19.83,153.31,5,8,2,14,13,0,0,0,1,0,0,0
47,1974,Graduation,Married,62026.54,1,2,2018-09-28,113,1962.99,92.71,181.0,71.65,81.38,883.5,7,3,6,15,17,0,0,0,0,0,0,0
48,1995,Graduation,Divorced,60734.87,0,0,2013-06-16,106,1078.87,40.32,302.54,118.84,17.35,196.07,6,9,1,11,15,0,0,0,0,1,0,0
49,1993,Graduation,Married,67886.55,0,1,2015-07-28,89,1453.0,54.01,500.37,159.2,70.82,407.74,4,12,3,13,18,0,0,0,0,0,0,0
50,1990,PhD,Single,77755.92,1,2,2015-03-01,343,646.09,35.67,266.3,341.64,37.74,262.06,4,6,1,13,9,0,0,0,1,1,0,0
51,1992,Graduation,Married,66900.29,1,0,2012-03-16,313,1198.48,54.16,239.55,161.16,23.83,288.5,8,5,4,11,10,0,0,0,0,0,0,0
52,1991,Graduation,Single,75330.94,1,0,2013-11-04,274,1201.68,109.57,150.96,153.96,91.15,137.99,6,6,6,10,17,0,0,0,1,0,0,0
53,1943,Graduation,Divorced,74624.98,2,1,2012-08-20,334,2091.16,51.63,321.82,49.65,17.49,408.24,5,7,1,9,10,0,0,0,0,0,0,0
54,1943,Graduation,Single,93922.58,1,1,2017-05-28,109,1086.08,72.22,244.71,279.39,39.47,302.64,5,8,3,10,12,0,0,0,0,0,0,0
55,1980,Graduation,Together,56620.56,2,0,2015-08-09,117,1082.32,35.39,336.96,89.55,57.02,120.21,6,11,0,9,13,0,0,0,1,0,0,0
56,1941,Master,Alone,116666.73,2,0,2017-08-07,327,1307.11,57.08,262.78,138.8,37.29,540.67,8,5,1,6,12,0,0,0,0,0,0,0
57,1966,Graduation,Single,57337.68,2,1,2012-01-01,342,734.73,115.51,106.65,54.14,65.02,118.94,7,8,1,13,9,0,0,0,0,0,0,0
58,1943,Graduation,Single,83713.37,1,0,2015-02-14,65,819.09,75.34,278.45,132.29,22.84,417.96,10,6,1,15,15,0,1,0,0,0,1,0
59,1953,PhD,Single,121769.76,0,0,2017-08-09,344,935.66,56.96,545.11,47.8,36.36,836.82,4,9,2,10,12,1,0,0,0,0,0,0
60,1956,Graduation,Absurd,57878.13,1,1,2015-06-18,322,1355.9,117.38,380.14,202.34,87.98,290.42,4,12,0,12,16,1,0,0,0,0,0,0
61,1998,Master,Together,57203.34,1,1,2019-12-25,120,478.86,43.5,244.23,176.35,37.09,492.33,1,11,6,3,7,0,0,0,0,0,0,1
62,1951,Graduation,Single,72235.75,1,0,2015-03-15,330,1185.49,29.46,503.11,66.14,26.13,1320.87,5,6,3,13,20,0,0,0,0,0,0,0
63,1960,Graduation,Together,81398.16,2,2,2018-07-02,246,1783.97,134.78,149.09,62.67,36.21,329.61,4,11,3,14,20,0,0,0,0,0,1,0
64,1979,Master,Single,82095.01,2,0,2015-04-06,262,932.37,172.79,269.77,158.81,51.17,230.62,5,3,2,17,15,1,0,1,0,0,0,0
65,1967,Graduation,Married,63567.79,2,2,2017-11-28,109,697.77,33.46,403.5,115.33,49.02,131.13,3,3,0,12,17,0,0,0,0,0,1,0
66,1978,2n Cycle,Together,38004.39,2,1,2012-04-08,291,181.95,148.49,193.8,54.8,18.33,742.88,8,5,3,17,13,0,0,0,0,0,0,0
67,1956,Master,Single,101461.15,0,1,2019-10-16,128,1838.63,72.75,306.21,211.19,50.25,201.28,6,7,3,16,9,0,0,1,1,0,0,0
68,1948,Basic,Widow,32188.85,1,0,2018-09-08,94,987.52,48.42,100.28,165.03,61.35,457.66,1,13,0,12,15,0,0,0,0,0,0,0
69,1977,Graduation,Married,72779.83,0,0,2017-06-04,132,1394.05,46.66,242.44,116.38,51.12,0.0,6,9,3,17,21,0,0,0,0,0,0,0
70,1964,PhD,Married,79720.01,1,0,2015-05-22,313,1910.23,38.75,101.31,109.28,34.88,351.76,3,8,4,17,11,1,1,0,0,0,1,0
71,1984,Basic,Single,31976.92,0,0,2018-12-01,26,915.22,73.39,103.09,121.37,21.82,1086.18,4,6,3,14,12,0,0,0,0,0,0,0
72,1972,Graduation,Together,78086.53,0,2,2014-10-27,321,1945.34,74.23,551.05,84.55,80.23,666.09,5,7,4,16,19,0,0,0,0,1,0,0
73,1983,Graduation,Widow,76310.45,0,2,2018-04-26,15,1149.77,53.79,686.2,30.33,32.8,777.4,3,9,2,17,9,0,0,0,0,0,0,0
74,1994,Graduation,Single,54411.13,1,0,2015-03-11,282,1115.68,205.17,210.56,64.37,23.52,355.99,3,7,4,12,15,0,0,0,0,0,1,0
75,1970,2n Cycle,Married,58921.75,0,1,2015-08-08,162,1232.11,77.52,191.97,156.19,40.95,237.99,4,8,1,7,16,1,0,0,0,0,0,0
76,1984,Master,Together,115899.55,0,0,2013-07-15,40,670.72,41.25,81.69,34.57,55.18,551.34,3,11,8,12,7,0,0,0,0,0,0,0
77,1959,Master,Together,120387.78,1,0,2014-03-15,85,450.85,73.15,328.24,187.54,68.88,131.57,9,12,2,13,17,0,0,0,1,0,0,0
78,1977,PhD,YOLO,75966.48,2,0,2017-06-27,45,1733.18,97.78,237.79,50.66,73.25,599.51,7,6,2,9,23,0,0,0,0,1,0,0
79,1986,Basic,Married,24682.58,1,0,2017-07-09,157,228.77,29.24,366.14,171.43,37.62,178.18,6,7,0,10,12,1,0,0,0,0,0,0
80,1940,PhD,Single,103828.77,0,1,2017-11-12,176,1109.31,77.66,175.73,118.66,59.74,472.38,5,9,4,14,15,0,1,0,0,0,0,0
81,1978,Graduation,Widow,61973.05,2,2,2017-02-14,56,309.93,114.61,214.69,139.27,34.68,587.82,5,4,3,11,15,0,0,0,0,0,0,0
82,1948,Graduation,Together,58911.46,0,0,2017-12-16,164,1013.29,13.1,395.91,163.6,25.47,0.0,8,8,1,13,15,0,0,0,1,0,0,0
83,1977,Master,Married,119356.8,0,0,2016-11-16,334,420.51,155.47,488.57,36.54,37.19,189.88,8,10,2,18,14,0,0,0,0,0,0,0
84,1979,Master,Married,73569.1,2,2,2013-03-24,73,1163.98,70.75,254.03,143.49,33.16,367.53,3,11,5,16,20,0,0,0,0,0,1,0
85,1952,Graduation,Married,66371.0,1,0,2013-07-23,111,1389.47,22.85,539.94,133.88,58.41,106.85,5,9,4,11,14,0,0,0,0,0,0,0
86,1955,Graduation,Single,65107.43,1,1,2019-12-01,152,709.91,78.16,239.03,262.43,56.25,957.48,5,5,3,10,15,0,1,0,0,0,0,0
87,1983,Graduation,Together,73534.12,1,0,2014-05-27,309,2051.67,126.4,171.73,113.83,35.06,790.47,5,7,4,6,14,0,0,0,0,0,0,0
88,1963,Graduation,YOLO,84981.01,0,1,2017-06-11,91,971.67,71.22,422.43,145.72,56.02,381.31,7,4,5,17,12,0,0,0,0,0,0,0
89,1956,Graduation,Single,82577.91,1,0,2012-06-12,247,904.88,10.45,125.36,232.26,62.28,316.71,2,7,0,16,15,0,0,0,0,1,0,0
90,1964,Graduation,Together,87043.53,1,1,2014-03-17,254,1188.85,27.04,535.36,195.9,27.84,180.89,4,7,3,13,21,0,0,0,0,0,1,0
91,1945,Master,Together,117070.84,0,0,2013-04-02,112,1090.66,65.88,349.17,140.06,72.21,152.45,6,8,6,14,13,0,0,0,0,0,0,0
92,1958,Graduation,Married,80575.68,1,2,2019-10-24,228,1742.12,33.38,347.75,110.58,62.3,477.88,6,9,2,9,23,0,0,0,0,0,0,0
93,1976,Graduation,Divorced,60012.21,2,2,2012-07-22,54,418.85,89.85,265.57,0.0,29.66,685.17,6,11,6,14,16,0,0,0,1,0,0,0
94,1948,Master,Divorced,73443.8,2,1,2018-11-17,306,1358.96,86.59,175.52,185.84,71.31,738.54,3,5,2,5,10,0,1,0,0,0,1,0
95,1982,2n Cycle,Single,58383.77,0,0,2017-05-03,353,2459.89,113.25,157.66,247.69,65.1,376.18,8,8,4,13,13,1,0,0,0,0,1,0
96,1974,Graduation,Married,55695.28,1,0,2019-09-23,163,1649.68,81.2,297.38,39.15,48.08,790.67,7,8,5,12,14,0,0,1,0,0,0,0
97,1986,2n Cycle,Divorced,49297.66,1,1,2019-09-22,91,715.67,68.87,184.48,55.88,55.98,585.97,5,12,3,18,19,0,0,0,0,0,1,0
98,1950,Graduation,Single,61111.66,0,0,2012-10-02,105,1126.18,121.96,321.66,314.61,108.44,180.48,3,4,4,12,23,0,0,0,0,0,0,0
99,1962,Graduation,Married,83059.98,1,2,2014-10-02,89,2584.34,109.5,414.05,198.67,93.05,593.23,2,7,5,12,13,0,0,0,0,0,0,0
100,1982,Master,Married,88805.41,1,1,2014-05-04,180,1356.78,49.82,124.73,73.52,23.6,204.11,7,13,5,8,18,0,0,0,0,0,0,0
101,1974,Master,Divorced,61465.61,1,0,2012-11-26,170,1356.35,111.8,383.7,51.12,40.51,53.97,7,9,3,8,14,1,1,0,0,1,1,1
102,1966,Graduation,Single,64372.53,1,1,2015-03-09,92,1255.96,96.04,167.46,103.63,19.47,175.12,10,11,2,13,16,0,0,1,0,0,0,0
103,1975,PhD,Married,111502.4,2,0,2014-05-21,88,851.96,24.28,148.05,198.23,36.12,0.0,3,5,2,13,10,1,0,0,0,1,0,1
104,1966,Master,Absurd,78881.36,0,0,2018-04-06,53,1122.7,102.77,142.29,111.31,49.32,1250.05,2,7,4,11,11,0,0,0,1,0,0,0
105,1954,Graduation,Married,52593.13,2,0,2013-06-01,52,1255.84,97.03,412.07,170.35,39.55,451.84,2,11,6,7,15,0,0,0,0,0,0,0
106,1984,Graduation,Widow,72014.57,1,1,2012-10-22,74,843.73,78.64,520.98,73.59,45.38,328.51,2,4,3,8,12,1,0,0,0,0,0,0
107,1996,Master,Divorced,91486.74,2,1,2013-03-21,362,359.39,78.22,428.62,216.14,85.69,312.36,6,7,5,14,12,0,0,0,0,0,0,0
108,1997,2n Cycle,Single,20500.91,1,0,2015-07-18,250,368.72,92.73,182.14,231.07,26.32,766.14,4,8,1,12,16,0,0,0,0,0,1,0
109,1952,Graduation,Single,92006.72,1,0,2015-04-28,63,736.27,61.89,384.12,128.74,26.47,0.0,2,6,4,16,14,0,0,0,0,0,0,0
110,1985,Basic,Together,54557.43,1,2,2017-11-06,315,1029.53,33.15,317.31,186.57,42.64,163.23,3,9,4,11,13,0,0,0,0,1,0,0
111,1972,PhD,Together,121240.32,1,0,2014-07-10,116,1743.62,89.83,190.23,47.89,105.51,470.01,8,9,8,11,16,0,0,0,0,1,0,0
112,1955,Graduation,Single,86939.07,0,1,2013-12-25,115,1730.9,107.06,300.55,268.21,72.35,297.85,9,4,3,11,17,0,0,0,0,1,0,0
113,1966,2n Cycle,Married,31346.04,1,0,2018-05-24,176,1173.22,65.41,360.05,140.8,31.08,224.34,2,9,4,11,18,0,0,0,0,0,0,0
114,1975,Master,Together,119800.36,2,1,2012-10-27,55,1822.92,130.28,256.75,42.49,51.19,624.15,5,8,4,10,16,0,0,0,0,0,0,0
115,1964,Graduation,Single,61672.93,1,1,2019-06-05,314,497.76,48.03,237.2,46.69,93.7,94.1,4,7,4,11,12,0,0,1,0,1,0,0
116,1999,Graduation,Divorced,37477.91,0,0,2018-11-22,84,622.21,91.3,335.82,122.38,51.67,77.95,3,11,2,12,17,0,0,0,0,0,0,0
117,1967,Graduation,Absurd,56274.74,0,1,2016-12-09,274,1276.97,58.06,193.58,61.07,54.67,1058.94,4,7,2,11,14,0,0,0,0,0,0,0
118,1963,Graduation,Single,79377.54,1,2,2015-11-07,339,1100.44,62.6,275.41,110.1,31.51,69.82,6,9,0,15,17,0,0,0,0,0,0,0
119,1970,PhD,Single,94537.83,2,1,2017-12-19,205,1472.06,139.71,211.71,98.56,65.21,141.48,4,8,0,14,19,0,0,0,1,0,0,0
120,1940,Graduation,Married,93084.49,0,1,2015-09-16,349,498.17,35.08,127.34,102.22,35.46,111.44,6,7,1,10,12,0,0,0,0,0,0,0
121,1941,Graduation,Widow,55803.22,2,0,2019-03-25,250,981.55,99.24,227.16,119.91,25.36,117.45,7,9,2,11,22,0,0,0,0,0,0,0
122,1953,Graduation,Together,49418.01,1,0,2017-08-25,174,671.41,111.76,226.21,158.36,41.74,138.21,6,5,6,17,12,0,1,0,0,1,1,0
123,1976,Graduation,Divorced,69706.43,0,2,2014-01-16,316,791.41,89.85,310.17,35.83,66.89,53.82,7,14,1,13,21,0,0,0,0,0,0,0
124,1991,Graduation,Married,79143.14,2,0,2018-01-20,201,1511.28,51.64,454.69,46.17,67.7,0.0,3,9,5,12,13,0,0,0,0,0,0,0
125,1941,Graduation,Married,72906.7,0,1,2014-04-19,83,731.47,59.37,211.55,138.86,29.19,108.54,7,6,3,10,19,0,0,0,0,0,0,0
126,1970,Graduation,Divorced,52762.99,2,2,2012-01-06,40,1597.32,110.65,150.79,119.25,96.21,334.75,5,2,0,11,11,0,0,0,0,0,0,0
127,1978,Graduation,Widow,52027.56,1,0,2019-08-01,149,1726.11,61.82,232.51,78.61,54.23,201.49,5,4,3,8,12,0,0,0,0,0,1,0
128,1996,Graduation,Single,63135.28,0,0,2016-01-11,156,1185.99,67.55,334.25,203.93,53.83,587.79,11,7,4,15,14,0,0,0,1,0,0,0
129,1947,Basic,Married,39448.64,0,0,2015-05-24,79,179.76,69.61,53.08,235.97,83.12,964.83,3,11,5,6,17,0,0,0,0,0,1,0
130,1995,Master,Widow,61782.33,0,0,2015-12-20,315,998.31,141.12,315.29,54.88,21.32,398.8,2,10,3,12,15,0,0,0,1,0,0,0
131,1963,Graduation,Married,70584.24,0,2,2012-04-07,189,1594.0,14.87,416.64,66.83,96.86,78.95,8,7,2,8,17,0,0,0,0,1,0,1
132,1944,Master,Single,129494.95,2,0,2013-07-23,182,980.19,57.29,209.98,193.54,27.44,799.78,2,8,5,11,11,0,0,0,0,0,0,0
133,1951,Graduation,Together,73890.21,1,0,2017-04-24,83,938.43,116.92,388.62,86.25,22.08,209.55,7,8,1,16,18,0,0,0,0,1,0,0
134,1990,Graduation,Together,72769.22,0,2,2017-10-18,42,545.9,60.84,284.68,184.96,15.89,325.05,7,5,3,8,20,0,0,0,1,0,0,0
135,1994,Master,Single,66690.57,1,0,2012-09-12,236,2524.84,98.48,309.22,146.07,86.49,158.04,3,5,2,6,16,1,0,0,0,0,0,0
136,1993,Graduation,Single,40923.42,0,1,2018-04-21,186,573.87,101.7,233.02,96.0,42.61,602.91,9,6,7,13,19,0,1,1,0,1,0,0
137,1970,Master,Married,128599.25,0,0,2018-11-17,349,403.07,33.78,330.07,152.81,26.84,302.43,5,11,3,10,14,0,0,0,0,0,0,0
138,1960,Graduation,Alone,61724.18,1,0,2017-04-06,45,1940.41,42.4,203.16,89.68,58.78,394.92,1,8,2,12,17,0,0,0,0,0,0,0
139,1971,Graduation,Alone,64430.75,1,1,2016-01-10,12,601.71,30.27,270.16,155.16,19.23,500.82,7,5,4,16,11,0,0,0,0,0,0,0
140,1954,PhD,Divorced,81603.98,0,2,2017-05-27,215,1946.17,154.44,362.04,114.55,36.28,471.54,7,6,4,10,11,0,0,0,1,0,0,0
141,1944,Graduation,Married,71242.23,2,2,2016-07-05,2,1307.0,73.57,228.05,178.61,43.34,433.47,5,8,5,17,13,0,0,0,0,0,1,0
142,1975,Master,Married,108241.37,1,0,2019-08-21,167,1572.44,67.47,327.88,112.46,18.24,301.95,4,4,4,13,15,0,0,0,0,0,1,0
143,1947,Graduation,Widow,84427.79,0,0,2012-03-02,205,726.96,95.93,94.05,254.88,70.75,495.64,6,9,6,10,8,0,0,0,0,1,0,0
144,1941,2n Cycle,Single,59932.05,0,2,2017-02-09,288,1010.31,44.43,224.1,239.41,20.75,488.97,2,9,6,3,18,0,0,0,0,0,0,0
145,1962,Graduation,Married,59937.21,1,1,2016-01-14,58,930.3,6.33,214.82,116.57,55.45,424.08,4,7,5,10,10,0,0,0,0,1,0,0
146,1964,Graduation,Married,68865.14,1,1,2012-04-13,187,1367.99,60.73,310.82,197.69,35.79,193.77,6,9,3,16,16,0,0,0,1,0,1,0
147,1988,Graduation,Widow,63744.53,1,1,2013-04-05,340,815.65,70.09,239.61,112.36,42.76,263.95,6,6,5,11,8,0,1,0,0,0,0,0
148,1952,Basic,Together,66524.34,2,0,2016-09-11,302,1020.48,92.03,452.52,236.17,59.12,686.49,8,10,3,6,16,0,0,0,0,0,1,0
149,1975,Graduation,Married,44746.9,0,0,2013-05-17,218,505.57,191.18,269.45,131.64,28.66,580.89,7,10,1,10,11,0,1,0,0,0,0,0
150,1940,Master,Married,108738.91,1,1,2013-03-23,278,983.6,46.59,168.05,196.04,36.52,589.73,6,5,1,14,15,0,1,0,0,0,0,0
151,1968,Graduation,Single,65435.82,1,0,2015-09-18,211,1691.46,175.04,242.06,65.98,65.71,759.76,5,10,4,12,17,0,0,0,1,0,0,0
152,1972,Graduation,Married,93841.36,1,0,2013-05-20,294,1580.66,43.99,335.1,326.01,40.8,252.79,6,7,0,14,17,0,0,1,0,0,0,0
153,1964,Graduation,Absurd,71201.01,0,0,2015-05-02,306,494.97,42.05,375.84,130.55,46.57,375.4,4,6,1,15,10,0,0,0,0,0,0,0
154,1994,Graduation,Married,40016.43,0,0,2016-10-18,197,518.41,57.16,518.09,152.66,53.42,268.81,8,11,2,6,21,0,1,0,0,1,0,0
155,1996,Graduation,Married,56809.54,2,1,2016-04-02,43,663.77,53.92,241.69,243.19,32.01,405.53,3,6,6,17,22,0,0,0,0,0,0,0
156,1945,Graduation,Widow,56017.93,0,0,2015-10-08,335,520.48,155.75,306.84,65.64,33.38,250.03,3,6,6,15,15,0,0,0,0,0,0,0
157,1940,Graduation,Married,68153.74,1,1,2012-03-09,44,1589.72,49.75,395.13,178.12,55.91,98.55,5,7,3,7,13,1,0,0,0,0,1,0
158,1990,Graduation,Together,77726.53,2,0,2019-04-15,303,534.32,75.56,405.42,194.21,84.85,595.95,4,5,9,12,7,0,0,0,0,1,0,0
159,1963,PhD,Widow,128960.22,1,0,2016-10-09,246,585.65,91.8,241.82,89.2,27.9,978.25,5,5,2,17,18,1,0,0,0,0,1,0
160,1989,Master,Widow,71635.51,0,2,2015-11-14,303,2451.7,78.04,169.84,226.77,29.57,875.82,5,7,3,12,9,1,0,0,0,0,0,0
161,1968,Master,Married,91755.54,0,2,2013-12-10,184,1250.8,71.54,541.46,108.58,50.73,544.35,2,10,5,12,17,0,0,0,0,0,0,0
162,1969,Master,Widow,124261.42,1,0,2018-04-08,17,671.93,121.0,316.83,67.87,51.24,325.86,5,4,4,14,15,0,0,0,0,0,0,0
163,1971,Graduation,Widow,91032.47,2,0,2012-03-18,42,1955.63,49.9,226.71,231.74,78.9,437.17,5,8,3,11,18,0,0,0,0,0,0,0
164,1947,Graduation,Together,72474.84,2,0,2016-10-14,321,1490.53,104.99,273.42,145.27,33.11,157.9,7,8,2,12,17,0,0,0,0,0,0,0
165,1972,Graduation,Alone,70053.06,0,2,2018-03-02,63,753.38,149.06,343.37,315.11,51.33,104.16,7,4,3,14,20,0,0,0,1,0,0,0
166,1980,Graduation,Single,44840.63,2,1,2017-02-20,123,1184.71,71.92,329.99,206.95,68.71,178.9,4,5,4,8,15,0,0,0,0,1,0,0
167,1957,Graduation,Married,91467.65,0,0,2017-07-07,234,2424.11,55.07,339.13,93.29,105.08,1112.47,6,8,4,10,11,0,1,0,1,0,1,0
168,1953,Graduation,Absurd,74808.78,0,2,2013-12-01,352,1573.7,68.43,248.16,81.15,55.19,504.18,4,11,3,14,17,0,0,0,0,0,0,0
169,1997,Graduation,Single,47413.83,0,2,2016-10-08,121,542.32,95.0,149.58,175.72,36.78,193.75,4,6,1,11,19,0,0,0,1,1,0,0
170,1987,2n Cycle,Alone,51630.19,0,0,2019-05-12,159,449.9,94.01,90.36,160.42,72.63,184.31,3,9,2,12,14,0,0,0,0,0,0,0
